ID,Symptom,Age Group,Diagnoses,Medications,Home Care,Red Flags
symptom_616,eye discharge,4-12 months,functional abdominal pain; bronchiolitis; viral infection,Ibuprofen; Hydrocortisone cream,avoid allergens; frequent handwashing,rash with fever; difficulty breathing; stiff neck
symptom_617,sore throat,4-12 months,bacterial infection,Albuterol inhaler,warm saltwater gargle,loss of consciousness; lethargy; no urine output >8h
symptom_618,urinary pain,4-12 months,sinusitis,Ibuprofen; Cetirizine,rest; light clothing; increase fluid intake,difficulty breathing
symptom_619,eye discharge,7-12 years,flu; dehydration,Hydrocortisone cream; Prednisone,humidifier,persistent high fever; seizures; lethargy
symptom_620,nasal congestion,0-3 months,asthma,Acetaminophen; Amoxicillin,light clothing; humidifier; rest,severe pain; seizures
symptom_621,vomiting,13-18 years,covid-19; otitis media; dehydration,,increase fluid intake; light clothing; warm saltwater gargle,loss of consciousness; projectile vomiting
symptom_622,vomiting,4-6 years,covid-19,Azithromycin,avoid allergens,difficulty breathing; persistent high fever
symptom_623,eye discharge,4-12 months,UTI,,apply moisturizer; warm saltwater gargle,difficulty breathing
symptom_624,difficulty swallowing,4-12 months,functional abdominal pain; appendicitis,Ibuprofen,rest; light clothing,loss of consciousness; difficulty breathing
symptom_625,constipation,4-12 months,asthma; otitis media; eczema,Oral Rehydration Solution; Hydrocortisone cream,warm saltwater gargle; cool compresses,no urine output >8h; rash with fever
symptom_626,seizures,13-18 years,pneumonia; bronchiolitis,Albuterol inhaler,apply moisturizer; rest,lethargy; severe pain; persistent high fever
symptom_627,urinary pain,1-3 years,eczema; asthma; dehydration,,warm saltwater gargle,seizures; loss of consciousness; difficulty breathing
symptom_628,eye discharge,0-3 months,asthma; strep throat,Ondansetron,increase fluid intake,persistent high fever
symptom_629,limping,7-12 years,allergic reaction,Acetaminophen; Ibuprofen; Azithromycin,apply moisturizer,lethargy; stiff neck; projectile vomiting
symptom_630,diarrhea,4-6 years,appendicitis,Albuterol inhaler,humidifier,loss of consciousness; no urine output >8h
symptom_631,fever,7-12 years,asthma,Hydrocortisone cream,increase fluid intake; humidifier,rash with fever; persistent high fever; projectile vomiting
symptom_632,rash,7-12 years,eczema,Ibuprofen; Azithromycin,apply moisturizer,seizures; severe pain
symptom_633,joint pain,7-12 years,tonsillitis; meningitis,Ibuprofen; Acetaminophen,increase fluid intake; cool compresses,severe pain
symptom_634,fatigue,1-3 years,functional abdominal pain; tonsillitis,Ibuprofen; Cetirizine,warm saltwater gargle; frequent handwashing; rest,rash with fever; difficulty breathing
symptom_635,sleep disturbance,13-18 years,strep throat,Hydrocortisone cream; Cetirizine; Azithromycin,avoid allergens; frequent handwashing,stiff neck; loss of consciousness; difficulty breathing
symptom_636,loss of appetite,1-3 years,viral infection; allergic reaction,Acetaminophen; Ondansetron,increase fluid intake,severe pain; rash with fever; no urine output >8h
symptom_637,ear pain,0-3 months,allergic reaction; otitis media,Hydrocortisone cream,frequent handwashing,projectile vomiting
symptom_638,rash,7-12 years,bronchiolitis; UTI,Ibuprofen; Albuterol inhaler,cool compresses,difficulty breathing; rash with fever; stiff neck
symptom_639,fatigue,4-6 years,bronchiolitis; UTI; flu,Acetaminophen; Prednisone,increase fluid intake; cool compresses,severe pain; seizures
symptom_640,joint pain,7-12 years,meningitis,Prednisone,avoid allergens; warm saltwater gargle,projectile vomiting; loss of consciousness; seizures
symptom_641,eye discharge,4-6 years,covid-19; pneumonia; flu,Acetaminophen,avoid allergens; increase fluid intake; frequent handwashing,severe pain; no urine output >8h; rash with fever
symptom_642,difficulty swallowing,1-3 years,flu; viral infection,Hydrocortisone cream; Ondansetron,humidifier; frequent handwashing,seizures
symptom_643,shortness of breath,7-12 years,strep throat; pneumonia,Hydrocortisone cream; Acetaminophen; Prednisone,avoid allergens; frequent handwashing; rest,loss of consciousness
symptom_644,loss of appetite,0-3 months,otitis media; gastroenteritis; asthma,Hydrocortisone cream; Amoxicillin,humidifier,lethargy
symptom_645,ear pain,4-12 months,flu; viral infection,Albuterol inhaler,cool compresses; avoid allergens,loss of consciousness; seizures
symptom_646,rash,4-12 months,gastroenteritis,Hydrocortisone cream; Acetaminophen; Ondansetron,increase fluid intake; humidifier; avoid allergens,difficulty breathing
symptom_647,difficulty swallowing,0-3 months,sinusitis; viral infection,Prednisone,increase fluid intake; humidifier,severe pain; persistent high fever
symptom_648,constipation,13-18 years,covid-19,,humidifier,severe pain
symptom_649,sleep disturbance,4-6 years,bacterial infection; UTI,Ondansetron,apply moisturizer; cool compresses; avoid allergens,rash with fever; projectile vomiting; no urine output >8h
symptom_650,ear pain,0-3 months,UTI,,light clothing,rash with fever
symptom_651,night sweats,4-6 years,flu; UTI,Hydrocortisone cream; Acetaminophen; Amoxicillin,rest,rash with fever; loss of consciousness; persistent high fever
symptom_652,limping,4-12 months,tonsillitis,Ondansetron,avoid allergens; warm saltwater gargle; apply moisturizer,loss of consciousness; rash with fever
symptom_653,diarrhea,0-3 months,migraine,Ibuprofen; Hydrocortisone cream; Ondansetron,cool compresses; rest,lethargy; seizures
symptom_654,difficulty swallowing,1-3 years,UTI; migraine; appendicitis,,humidifier; light clothing,difficulty breathing; loss of consciousness; no urine output >8h
symptom_655,fever,0-3 months,UTI; flu,Amoxicillin,apply moisturizer,difficulty breathing
symptom_656,rash,1-3 years,sinusitis,Ibuprofen; Ondansetron,avoid allergens; increase fluid intake; cool compresses,projectile vomiting
symptom_657,wheezing,4-12 months,eczema,Hydrocortisone cream; Cetirizine,apply moisturizer,rash with fever; seizures
symptom_658,cough,4-12 months,asthma,,warm saltwater gargle,lethargy; stiff neck
symptom_659,abdominal pain,1-3 years,eczema; sinusitis,Acetaminophen; Oral Rehydration Solution; Albuterol inhaler,frequent handwashing; light clothing,no urine output >8h; stiff neck
symptom_660,fatigue,13-18 years,covid-19; bacterial infection; otitis media,Ibuprofen; Prednisone,light clothing; humidifier; frequent handwashing,no urine output >8h
symptom_661,ear pain,7-12 years,UTI; sinusitis; asthma,Oral Rehydration Solution; Acetaminophen; Albuterol inhaler,warm saltwater gargle,projectile vomiting; loss of consciousness; severe pain
symptom_662,limping,4-12 months,otitis media,Ibuprofen; Cetirizine; Ondansetron,frequent handwashing; avoid allergens,difficulty breathing; persistent high fever; seizures
symptom_663,ear pain,7-12 years,asthma,Hydrocortisone cream; Acetaminophen,increase fluid intake; light clothing,difficulty breathing
symptom_664,joint pain,13-18 years,functional abdominal pain,Acetaminophen; Oral Rehydration Solution,light clothing,loss of consciousness; persistent high fever
symptom_665,wheezing,7-12 years,eczema; bronchiolitis; UTI,Amoxicillin,warm saltwater gargle; apply moisturizer,lethargy; projectile vomiting; seizures
symptom_666,headache,4-12 months,gastroenteritis; tonsillitis,Oral Rehydration Solution; Azithromycin,avoid allergens,lethargy; rash with fever; loss of consciousness
symptom_667,night sweats,4-12 months,functional abdominal pain; pneumonia,Hydrocortisone cream; Cetirizine; Albuterol inhaler,light clothing,stiff neck; no urine output >8h
symptom_668,seizures,4-12 months,UTI,Cetirizine; Acetaminophen,apply moisturizer; humidifier,rash with fever; projectile vomiting; stiff neck
symptom_669,joint pain,7-12 years,migraine; bacterial infection,Ibuprofen; Hydrocortisone cream,humidifier; warm saltwater gargle; apply moisturizer,loss of consciousness; rash with fever
symptom_670,wheezing,1-3 years,otitis media,Ibuprofen; Hydrocortisone cream,frequent handwashing; cool compresses,rash with fever; severe pain
symptom_671,limping,1-3 years,eczema,Ibuprofen; Oral Rehydration Solution; Azithromycin,increase fluid intake; frequent handwashing; apply moisturizer,difficulty breathing; persistent high fever
symptom_672,constipation,7-12 years,viral infection; gastroenteritis,Amoxicillin,light clothing; increase fluid intake,loss of consciousness; persistent high fever
symptom_673,fever,4-12 months,allergic reaction,Ondansetron,cool compresses,stiff neck; projectile vomiting
symptom_674,wheezing,1-3 years,migraine; flu; meningitis,Ondansetron,cool compresses; avoid allergens,stiff neck; severe pain
symptom_675,eye discharge,0-3 months,strep throat; viral infection; tonsillitis,Hydrocortisone cream; Cetirizine,cool compresses; light clothing,no urine output >8h; persistent high fever; lethargy
symptom_676,limping,0-3 months,gastroenteritis; flu; bronchiolitis,Amoxicillin,apply moisturizer,persistent high fever; projectile vomiting
symptom_677,headache,1-3 years,otitis media; flu; pneumonia,,apply moisturizer; frequent handwashing; increase fluid intake,difficulty breathing; stiff neck; lethargy
symptom_678,wheezing,0-3 months,sinusitis,Acetaminophen; Cetirizine; Amoxicillin,humidifier; light clothing,no urine output >8h; seizures
symptom_679,sleep disturbance,1-3 years,gastroenteritis; pneumonia,Cetirizine,humidifier; frequent handwashing,projectile vomiting; loss of consciousness; rash with fever
symptom_680,rash,1-3 years,asthma; covid-19; otitis media,,frequent handwashing,loss of consciousness
symptom_681,eye discharge,0-3 months,viral infection,Acetaminophen; Ibuprofen; Azithromycin,humidifier; increase fluid intake,loss of consciousness; seizures; rash with fever
symptom_682,loss of appetite,4-6 years,sinusitis; migraine; gastroenteritis,Prednisone,frequent handwashing; light clothing,loss of consciousness; seizures
symptom_683,wheezing,4-6 years,bronchiolitis; migraine,Hydrocortisone cream,increase fluid intake; avoid allergens,lethargy; difficulty breathing
symptom_684,cough,7-12 years,viral infection,,apply moisturizer; humidifier,projectile vomiting; lethargy; loss of consciousness
symptom_685,night sweats,13-18 years,eczema; tonsillitis; functional abdominal pain,Prednisone,increase fluid intake; frequent handwashing; cool compresses,seizures; stiff neck
symptom_686,nasal congestion,7-12 years,eczema; strep throat,Hydrocortisone cream; Albuterol inhaler,rest; increase fluid intake,rash with fever; stiff neck; severe pain
symptom_687,eye discharge,0-3 months,gastroenteritis; covid-19,Cetirizine; Albuterol inhaler,frequent handwashing; cool compresses,difficulty breathing
symptom_688,constipation,13-18 years,strep throat; tonsillitis,Azithromycin,humidifier; increase fluid intake,stiff neck
symptom_689,diarrhea,7-12 years,meningitis; appendicitis,,cool compresses; rest; light clothing,no urine output >8h
symptom_690,weight loss,7-12 years,strep throat; migraine; eczema,,light clothing; rest,lethargy; stiff neck
symptom_691,nasal congestion,13-18 years,meningitis; asthma,Hydrocortisone cream; Oral Rehydration Solution; Albuterol inhaler,rest; light clothing,rash with fever; projectile vomiting; difficulty breathing
symptom_692,cough,7-12 years,tonsillitis; covid-19; viral infection,Ibuprofen,increase fluid intake; apply moisturizer; cool compresses,stiff neck
symptom_693,shortness of breath,7-12 years,covid-19; allergic reaction,Albuterol inhaler,warm saltwater gargle; light clothing; rest,seizures; stiff neck; difficulty breathing
symptom_694,night sweats,4-12 months,covid-19,Acetaminophen; Ibuprofen,humidifier,stiff neck; severe pain
symptom_695,ear pain,1-3 years,functional abdominal pain; dehydration; allergic reaction,Hydrocortisone cream; Cetirizine; Amoxicillin,warm saltwater gargle,no urine output >8h; rash with fever
symptom_696,limping,13-18 years,sinusitis; strep throat; appendicitis,Hydrocortisone cream; Ibuprofen; Prednisone,increase fluid intake; cool compresses,persistent high fever
symptom_697,eye discharge,0-3 months,dehydration; gastroenteritis,Acetaminophen; Cetirizine; Azithromycin,avoid allergens; humidifier,projectile vomiting
symptom_698,sore throat,4-6 years,migraine; meningitis; bacterial infection,Hydrocortisone cream; Cetirizine,cool compresses; avoid allergens,projectile vomiting; lethargy; loss of consciousness
symptom_699,urinary pain,7-12 years,meningitis; strep throat; functional abdominal pain,Cetirizine; Hydrocortisone cream; Prednisone,warm saltwater gargle; apply moisturizer,lethargy; stiff neck
symptom_700,loss of appetite,1-3 years,gastroenteritis; tonsillitis,Ibuprofen; Hydrocortisone cream; Albuterol inhaler,humidifier; frequent handwashing,lethargy
symptom_701,headache,13-18 years,dehydration; pneumonia,Albuterol inhaler,rest; frequent handwashing,no urine output >8h
symptom_702,weight loss,7-12 years,covid-19; tonsillitis; gastroenteritis,Acetaminophen; Hydrocortisone cream; Azithromycin,light clothing; apply moisturizer; cool compresses,stiff neck
symptom_703,diarrhea,7-12 years,bacterial infection; eczema; tonsillitis,Cetirizine; Oral Rehydration Solution; Prednisone,frequent handwashing; avoid allergens,stiff neck
symptom_704,abdominal pain,1-3 years,flu; dehydration; sinusitis,Ondansetron,rest; warm saltwater gargle,no urine output >8h; persistent high fever; stiff neck
symptom_705,weight loss,0-3 months,eczema,Ibuprofen; Amoxicillin,avoid allergens; cool compresses,persistent high fever; lethargy
symptom_706,rash,4-6 years,sinusitis,Acetaminophen; Ondansetron,rest; humidifier,severe pain; rash with fever
symptom_707,sore throat,13-18 years,tonsillitis; functional abdominal pain,Amoxicillin,humidifier; warm saltwater gargle; increase fluid intake,seizures
symptom_708,seizures,13-18 years,otitis media; gastroenteritis,Amoxicillin,light clothing,rash with fever; lethargy
symptom_709,ear pain,0-3 months,gastroenteritis,Hydrocortisone cream; Oral Rehydration Solution; Ondansetron,cool compresses; light clothing; avoid allergens,rash with fever
symptom_710,wheezing,13-18 years,gastroenteritis,Azithromycin,increase fluid intake; light clothing,no urine output >8h; difficulty breathing; stiff neck
symptom_711,abdominal pain,4-12 months,appendicitis; asthma; migraine,Hydrocortisone cream; Cetirizine,warm saltwater gargle; light clothing,no urine output >8h; lethargy; rash with fever
symptom_712,constipation,4-12 months,functional abdominal pain; bacterial infection,Ondansetron,avoid allergens; light clothing; increase fluid intake,loss of consciousness; rash with fever; severe pain
symptom_713,loss of appetite,0-3 months,otitis media; covid-19,Azithromycin,humidifier; increase fluid intake,loss of consciousness; no urine output >8h
symptom_714,shortness of breath,4-12 months,bronchiolitis; functional abdominal pain,Oral Rehydration Solution; Prednisone,light clothing; cool compresses,difficulty breathing
symptom_715,seizures,4-6 years,bacterial infection,Ibuprofen; Hydrocortisone cream; Prednisone,humidifier; avoid allergens; cool compresses,severe pain
symptom_716,cough,7-12 years,tonsillitis; eczema,,warm saltwater gargle,no urine output >8h; persistent high fever; projectile vomiting
symptom_717,wheezing,4-6 years,bacterial infection; dehydration; pneumonia,Ibuprofen; Oral Rehydration Solution,increase fluid intake; light clothing,loss of consciousness; difficulty breathing
symptom_718,joint pain,4-6 years,viral infection; covid-19,Ibuprofen; Acetaminophen,warm saltwater gargle; increase fluid intake; rest,seizures
symptom_719,constipation,7-12 years,otitis media,Amoxicillin,light clothing; avoid allergens,seizures; severe pain; difficulty breathing
symptom_720,fever,1-3 years,asthma; tonsillitis; bronchiolitis,Acetaminophen; Hydrocortisone cream,cool compresses; apply moisturizer,no urine output >8h; severe pain
symptom_721,rash,13-18 years,migraine,,frequent handwashing,projectile vomiting; no urine output >8h; rash with fever
symptom_722,ear pain,4-6 years,sinusitis; bronchiolitis,Ibuprofen; Hydrocortisone cream,warm saltwater gargle,stiff neck; severe pain
symptom_723,sleep disturbance,13-18 years,gastroenteritis; allergic reaction,Cetirizine; Ibuprofen,avoid allergens,lethargy; projectile vomiting; rash with fever
symptom_724,seizures,13-18 years,functional abdominal pain; tonsillitis,,increase fluid intake,severe pain; no urine output >8h
symptom_725,constipation,4-12 months,strep throat; asthma,Cetirizine; Azithromycin,frequent handwashing; apply moisturizer; increase fluid intake,rash with fever
symptom_726,difficulty swallowing,4-6 years,bronchiolitis; UTI,,apply moisturizer; humidifier,lethargy; difficulty breathing
symptom_727,limping,0-3 months,covid-19; migraine,,rest; cool compresses,rash with fever; projectile vomiting
symptom_728,limping,0-3 months,viral infection; dehydration; bronchiolitis,Albuterol inhaler,apply moisturizer; rest; frequent handwashing,difficulty breathing; loss of consciousness; projectile vomiting
symptom_729,chest pain,13-18 years,asthma,Acetaminophen; Prednisone,rest,seizures; no urine output >8h
symptom_730,wheezing,0-3 months,pneumonia; covid-19,Oral Rehydration Solution; Cetirizine; Prednisone,humidifier; apply moisturizer; cool compresses,no urine output >8h; projectile vomiting
symptom_731,cough,0-3 months,gastroenteritis,Acetaminophen; Cetirizine,humidifier; increase fluid intake; rest,rash with fever; persistent high fever; lethargy
symptom_732,limping,0-3 months,eczema,Ondansetron,rest; light clothing; frequent handwashing,projectile vomiting
symptom_733,shortness of breath,1-3 years,allergic reaction,Amoxicillin,light clothing; rest,seizures; stiff neck
symptom_734,nasal congestion,4-6 years,migraine; tonsillitis,Hydrocortisone cream,increase fluid intake; rest; apply moisturizer,rash with fever; no urine output >8h; persistent high fever
symptom_735,headache,1-3 years,eczema; migraine,Acetaminophen,apply moisturizer,rash with fever; stiff neck
symptom_736,rash,4-12 months,gastroenteritis,Acetaminophen; Cetirizine,apply moisturizer,lethargy; projectile vomiting; severe pain
symptom_737,constipation,0-3 months,gastroenteritis,Acetaminophen; Amoxicillin,frequent handwashing; light clothing; cool compresses,difficulty breathing; projectile vomiting
symptom_738,sore throat,7-12 years,sinusitis; gastroenteritis; functional abdominal pain,Cetirizine; Prednisone,light clothing; warm saltwater gargle,difficulty breathing; rash with fever; no urine output >8h
symptom_739,headache,0-3 months,functional abdominal pain,Oral Rehydration Solution,frequent handwashing; humidifier,no urine output >8h; persistent high fever
symptom_740,joint pain,1-3 years,migraine,Ibuprofen; Oral Rehydration Solution,rest; apply moisturizer; humidifier,difficulty breathing; persistent high fever
symptom_741,shortness of breath,0-3 months,bronchiolitis; viral infection; functional abdominal pain,Oral Rehydration Solution,humidifier,loss of consciousness; seizures; rash with fever
symptom_742,difficulty swallowing,13-18 years,allergic reaction; gastroenteritis,,frequent handwashing; humidifier,stiff neck
symptom_743,rash,4-6 years,allergic reaction; flu,Acetaminophen; Ondansetron,rest; light clothing,no urine output >8h; stiff neck; projectile vomiting
symptom_744,joint pain,4-6 years,bronchiolitis; asthma; dehydration,Hydrocortisone cream; Oral Rehydration Solution,rest; increase fluid intake,difficulty breathing; seizures; rash with fever
symptom_745,ear pain,7-12 years,eczema; appendicitis; strep throat,Oral Rehydration Solution,light clothing; apply moisturizer; frequent handwashing,stiff neck; lethargy
symptom_746,sleep disturbance,4-12 months,pneumonia; eczema,Acetaminophen; Ondansetron,increase fluid intake; warm saltwater gargle; light clothing,rash with fever
symptom_747,fatigue,1-3 years,UTI; asthma,Albuterol inhaler,avoid allergens,seizures; persistent high fever; stiff neck
symptom_748,urinary pain,4-6 years,bacterial infection; bronchiolitis,Oral Rehydration Solution,increase fluid intake,stiff neck
symptom_749,cough,4-12 months,asthma; functional abdominal pain; dehydration,Hydrocortisone cream; Azithromycin,warm saltwater gargle; rest,loss of consciousness; severe pain; difficulty breathing
symptom_750,limping,4-6 years,migraine; appendicitis,Oral Rehydration Solution,humidifier; warm saltwater gargle,rash with fever; severe pain; difficulty breathing
symptom_751,ear pain,13-18 years,flu,Ondansetron,warm saltwater gargle; frequent handwashing,seizures; persistent high fever; difficulty breathing
symptom_752,fatigue,7-12 years,UTI; viral infection; flu,,warm saltwater gargle,lethargy; rash with fever; stiff neck
symptom_753,fever,13-18 years,pneumonia; strep throat,Acetaminophen; Oral Rehydration Solution; Azithromycin,rest,no urine output >8h
symptom_754,night sweats,0-3 months,bronchiolitis,Hydrocortisone cream,frequent handwashing; rest; avoid allergens,persistent high fever
symptom_755,limping,1-3 years,strep throat; bacterial infection; functional abdominal pain,Hydrocortisone cream; Oral Rehydration Solution; Azithromycin,frequent handwashing; warm saltwater gargle; apply moisturizer,persistent high fever; severe pain; no urine output >8h
symptom_756,sore throat,4-12 months,dehydration,Cetirizine; Prednisone,increase fluid intake; humidifier; frequent handwashing,seizures; projectile vomiting; no urine output >8h
symptom_757,seizures,13-18 years,meningitis; dehydration,Cetirizine,avoid allergens; warm saltwater gargle,lethargy; difficulty breathing; projectile vomiting
symptom_758,shortness of breath,4-6 years,strep throat,Ondansetron,increase fluid intake; light clothing,rash with fever; no urine output >8h; severe pain
symptom_759,nasal congestion,4-6 years,pneumonia; meningitis; bacterial infection,Azithromycin,warm saltwater gargle; light clothing; humidifier,severe pain
symptom_760,cough,0-3 months,bronchiolitis; dehydration,Ibuprofen,frequent handwashing; light clothing,stiff neck; loss of consciousness
symptom_761,seizures,1-3 years,meningitis,,warm saltwater gargle; light clothing; rest,rash with fever
symptom_762,seizures,4-12 months,bacterial infection,Hydrocortisone cream; Oral Rehydration Solution; Ondansetron,warm saltwater gargle,difficulty breathing; persistent high fever
symptom_763,loss of appetite,1-3 years,meningitis; UTI,Ibuprofen,cool compresses,loss of consciousness; severe pain; stiff neck
symptom_764,vomiting,13-18 years,tonsillitis; gastroenteritis,Hydrocortisone cream; Ibuprofen; Prednisone,cool compresses; avoid allergens,loss of consciousness
symptom_765,weight loss,7-12 years,gastroenteritis,Oral Rehydration Solution,cool compresses,rash with fever; stiff neck; projectile vomiting
symptom_766,loss of appetite,4-6 years,allergic reaction; functional abdominal pain; migraine,Amoxicillin,increase fluid intake; humidifier,seizures; no urine output >8h
symptom_767,loss of appetite,7-12 years,migraine; strep throat,Amoxicillin,frequent handwashing; avoid allergens,stiff neck
symptom_768,chest pain,1-3 years,dehydration; flu; strep throat,Oral Rehydration Solution; Hydrocortisone cream; Albuterol inhaler,warm saltwater gargle,no urine output >8h
symptom_769,urinary pain,4-6 years,functional abdominal pain; covid-19,Amoxicillin,increase fluid intake; warm saltwater gargle,projectile vomiting; no urine output >8h; stiff neck
symptom_770,headache,13-18 years,meningitis; bacterial infection,Cetirizine; Prednisone,warm saltwater gargle; light clothing; cool compresses,difficulty breathing; persistent high fever
symptom_771,eye discharge,13-18 years,bacterial infection,Oral Rehydration Solution; Albuterol inhaler,apply moisturizer; light clothing; increase fluid intake,severe pain
symptom_772,cough,1-3 years,allergic reaction,Hydrocortisone cream; Cetirizine; Amoxicillin,increase fluid intake,rash with fever; lethargy
symptom_773,joint pain,0-3 months,strep throat,Azithromycin,increase fluid intake,loss of consciousness
symptom_774,urinary pain,7-12 years,allergic reaction; gastroenteritis,Acetaminophen; Ibuprofen,frequent handwashing; humidifier; increase fluid intake,no urine output >8h; difficulty breathing; severe pain
symptom_775,night sweats,0-3 months,functional abdominal pain; meningitis,Amoxicillin,increase fluid intake; frequent handwashing,stiff neck; persistent high fever
symptom_776,constipation,4-6 years,allergic reaction; appendicitis,Oral Rehydration Solution; Cetirizine,cool compresses; frequent handwashing,rash with fever
symptom_777,night sweats,1-3 years,viral infection; flu,Cetirizine; Acetaminophen,warm saltwater gargle; apply moisturizer,projectile vomiting; seizures; rash with fever
symptom_778,sleep disturbance,1-3 years,allergic reaction; appendicitis; functional abdominal pain,Oral Rehydration Solution; Ibuprofen,apply moisturizer; cool compresses,seizures; loss of consciousness; severe pain
symptom_779,eye discharge,1-3 years,sinusitis; eczema,Ibuprofen; Amoxicillin,rest,stiff neck
symptom_780,abdominal pain,4-12 months,viral infection; eczema; pneumonia,Acetaminophen; Ibuprofen,cool compresses,persistent high fever
symptom_781,loss of appetite,0-3 months,bacterial infection; sinusitis,Cetirizine; Acetaminophen,humidifier; cool compresses; apply moisturizer,no urine output >8h; loss of consciousness
symptom_782,fever,7-12 years,functional abdominal pain,Cetirizine; Hydrocortisone cream; Ondansetron,increase fluid intake,severe pain
symptom_783,urinary pain,4-6 years,flu; bronchiolitis,Hydrocortisone cream; Acetaminophen,apply moisturizer; avoid allergens,projectile vomiting; persistent high fever
symptom_784,joint pain,13-18 years,pneumonia; meningitis,Cetirizine; Acetaminophen; Amoxicillin,warm saltwater gargle; avoid allergens,projectile vomiting; persistent high fever
symptom_785,joint pain,13-18 years,allergic reaction,,warm saltwater gargle,severe pain; seizures
symptom_786,night sweats,4-12 months,asthma; allergic reaction; eczema,Cetirizine; Ondansetron,rest; light clothing,severe pain; seizures; rash with fever
symptom_787,difficulty swallowing,1-3 years,viral infection; tonsillitis; covid-19,,humidifier,projectile vomiting
symptom_788,limping,0-3 months,eczema; otitis media; pneumonia,,light clothing; cool compresses; humidifier,seizures; difficulty breathing
symptom_789,headache,7-12 years,eczema,Cetirizine; Oral Rehydration Solution,apply moisturizer; frequent handwashing,difficulty breathing; persistent high fever; no urine output >8h
symptom_790,weight loss,13-18 years,gastroenteritis,Hydrocortisone cream; Oral Rehydration Solution,avoid allergens; warm saltwater gargle; apply moisturizer,projectile vomiting; seizures; no urine output >8h
symptom_791,loss of appetite,4-12 months,asthma; eczema; otitis media,Acetaminophen; Ondansetron,warm saltwater gargle; humidifier; light clothing,persistent high fever; difficulty breathing
symptom_792,limping,4-12 months,covid-19; bronchiolitis,,humidifier,severe pain; rash with fever
symptom_793,difficulty swallowing,0-3 months,viral infection; tonsillitis,Acetaminophen; Oral Rehydration Solution; Prednisone,apply moisturizer; warm saltwater gargle; humidifier,projectile vomiting; stiff neck; loss of consciousness
symptom_794,wheezing,4-6 years,gastroenteritis; allergic reaction,Ondansetron,humidifier,no urine output >8h; loss of consciousness
symptom_795,cough,7-12 years,otitis media; viral infection,Acetaminophen; Oral Rehydration Solution; Azithromycin,apply moisturizer; humidifier; warm saltwater gargle,no urine output >8h; loss of consciousness; stiff neck
symptom_796,joint pain,7-12 years,appendicitis; dehydration; pneumonia,Ibuprofen; Acetaminophen; Albuterol inhaler,light clothing; cool compresses; increase fluid intake,persistent high fever; projectile vomiting; seizures
symptom_797,eye discharge,4-12 months,sinusitis,Hydrocortisone cream; Prednisone,light clothing,no urine output >8h; severe pain; persistent high fever
symptom_798,constipation,1-3 years,covid-19; allergic reaction,Oral Rehydration Solution; Azithromycin,avoid allergens; increase fluid intake,difficulty breathing; persistent high fever
symptom_799,chest pain,4-6 years,functional abdominal pain; asthma,,frequent handwashing,no urine output >8h
symptom_800,headache,7-12 years,strep throat; gastroenteritis,Cetirizine; Albuterol inhaler,light clothing,rash with fever; severe pain; difficulty breathing
symptom_801,fever,4-6 years,allergic reaction,Oral Rehydration Solution; Ibuprofen; Prednisone,frequent handwashing,rash with fever
symptom_802,abdominal pain,13-18 years,bacterial infection; strep throat; gastroenteritis,Ibuprofen; Acetaminophen,humidifier,difficulty breathing
symptom_803,night sweats,7-12 years,UTI; gastroenteritis; bronchiolitis,Hydrocortisone cream; Acetaminophen,humidifier,persistent high fever; no urine output >8h; loss of consciousness
symptom_804,weight loss,4-12 months,otitis media,Hydrocortisone cream; Albuterol inhaler,rest; avoid allergens; frequent handwashing,loss of consciousness
symptom_805,shortness of breath,4-12 months,meningitis; appendicitis; viral infection,Hydrocortisone cream; Cetirizine,cool compresses; warm saltwater gargle,difficulty breathing
symptom_806,vomiting,4-12 months,functional abdominal pain; asthma,Ondansetron,light clothing; cool compresses,rash with fever; projectile vomiting; loss of consciousness
symptom_807,loss of appetite,13-18 years,gastroenteritis,Cetirizine; Ibuprofen; Azithromycin,apply moisturizer; light clothing,persistent high fever; severe pain; lethargy
symptom_808,fatigue,0-3 months,bacterial infection,Cetirizine,apply moisturizer,loss of consciousness; projectile vomiting
symptom_809,urinary pain,4-12 months,bacterial infection; strep throat; UTI,Oral Rehydration Solution; Hydrocortisone cream,cool compresses,lethargy
symptom_810,ear pain,13-18 years,viral infection; gastroenteritis; bronchiolitis,Ibuprofen,warm saltwater gargle; light clothing; rest,severe pain; projectile vomiting
symptom_811,vomiting,4-6 years,meningitis; bronchiolitis,Ibuprofen,increase fluid intake; frequent handwashing; light clothing,difficulty breathing; severe pain
symptom_812,vomiting,0-3 months,flu,Hydrocortisone cream; Albuterol inhaler,humidifier; rest; warm saltwater gargle,seizures; loss of consciousness
symptom_813,vomiting,13-18 years,bronchiolitis,Albuterol inhaler,avoid allergens; light clothing,no urine output >8h; projectile vomiting; loss of consciousness
symptom_814,weight loss,4-12 months,viral infection; gastroenteritis; tonsillitis,Ibuprofen,warm saltwater gargle,severe pain; difficulty breathing
symptom_815,nasal congestion,1-3 years,covid-19; gastroenteritis,Cetirizine,light clothing; avoid allergens,projectile vomiting
symptom_816,vomiting,4-6 years,dehydration; pneumonia; strep throat,Amoxicillin,apply moisturizer,seizures; loss of consciousness
symptom_817,ear pain,4-6 years,strep throat; asthma; flu,Oral Rehydration Solution; Hydrocortisone cream,cool compresses; humidifier; rest,stiff neck; loss of consciousness
